127.0.0.1 connected...|Time:2016-05-16 11:35:22|Time:2016-05-16 11:35:22
start to read...wait for data|Time:2016-05-16 11:35:22|Time:2016-05-16 11:35:22
data coming...|Time:2016-05-16 11:35:28|Time:2016-05-16 11:35:28
single msg is ok...|Time:2016-05-16 11:35:28|Time:2016-05-16 11:35:28
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:35:28|Time:2016-05-16 11:35:28
send to 127.0.0.1 code 0000[test]|Time:2016-05-16 11:35:28|Time:2016-05-16 11:35:28
start to read...wait for data|Time:2016-05-16 11:35:28|Time:2016-05-16 11:35:28
127.0.0.1 closed,exit|Time:2016-05-16 11:35:40|Time:2016-05-16 11:35:40
new client is coming...|Time:2016-05-16 11:51:56|Time:2016-05-16 11:52:49
127.0.0.1 connected...|Time:2016-05-16 11:52:49|Time:2016-05-16 11:52:49
start to read...wait for data|Time:2016-05-16 11:52:49
data coming...|Time:2016-05-16 11:52:55
single msg is ok...|Time:2016-05-16 11:52:55
command is ok from 127.0.0.1, responding... |Time:2016-05-16 11:52:55
send to 127.0.0.1 code 0000[test]|Time:2016-05-16 11:52:57
start to read...wait for data|Time:2016-05-16 11:52:57
